Year,Rank,Artist,Song,valence,danceability,energy,tempo
1991,31,londonbeat,ive been thinking about you,0.878,0.63,0.595,113.561
1991,32,natural selection,do anything,,,,
1991,33,rem,losing my religion,0.8029999999999999,0.6659999999999999,0.855,125.639
1991,34,gloria estefan,coming out of the dark,0.475,0.643,0.43,131.846
1991,35,lenny kravitz,it aint over til its over,0.928,0.671,0.6579999999999999,159.7045
1991,36,cc music factory,here we go,,,,
1991,37,celine dion,where does my heart beat now,0.583,0.5265,0.6134999999999999,74.03850000000001
1991,38,dj jazzy jeff  the fresh prince,summertime,0.441,0.6679999999999999,0.701,95.109
1991,39,scorpions,wind of change,0.246,0.452,0.524,151.505
1991,40,rhythm syndicate,passion,,,,
1991,41,paula abdul,the promise of a new day,0.8959999999999999,0.754,0.82,119.835
1991,42,whitney houston,im your baby tonight,0.873,0.665,0.899,165.16
1991,43,firehouse,love of a lifetime,0.126,0.472,0.48,123.023
1991,44,roxette,fading like a flower,0.319,0.609,0.6679999999999999,105.419
1991,45,tracie spencer,this house,0.971,0.74,0.738,112.589
1991,46,extreme,hole hearted,0.674,0.4,0.747,203.396
1991,47,luther vandross,power of lovelove power,,,,
1991,48,wilson phillips,impulsive,0.71,0.657,0.76,107.872
1991,49,michael bolton,love is a wonderful thing,0.935,0.727,0.8240000000000001,125.104
1991,50,rod stewart,rhythm of my heart,0.433,0.5820000000000001,0.54,94.955
1991,51,cc music factory,things that make you go hmmmm,,,,
1991,52,divinyls,i touch myself,0.726,0.66,0.711,109.328
1991,53,dma,toms diner,,,,
1991,54,another bad creation,iesha,0.6705,0.732,0.7765,111.8395
1991,55,bonnie raitt,something to talk about,0.954,0.795,0.64,102.633
1991,56,nelson,after the rain,,,,
1991,57,vanilla ice,play that funky music,0.573,0.851,0.514,100.425
1991,58,corina,temptation,,,,
1991,59,bryan adams,cant stop this thing we started,0.508,0.537,0.88,113.045
1991,60,hifive,i cant wait another minute,0.638,0.625,0.644,147.435
1991,61,the klf,am eternal,,,,
1991,62,michael bolton,time love and tenderness,0.738,0.51,0.8079999999999999,170.037
1991,63,enigrna,saideness part i,,,,
1991,64,ll cool j,around the way girl,0.679,0.608,0.669,202.062
1991,65,escape club,ill be there,,,,
1991,66,prince and the npg,cream,,,,
1991,67,heavy d  the boyz,now that we found love,,,,
1991,68,styx,show me the way,0.165,0.245,0.433,157.416
1991,69,mariah carey,love takes time,0.25,0.602,0.338,126.232
1991,70,rick astley,cry for help,0.547,0.5670000000000001,0.435,89.912
1991,71,ub,the way you do the things you do,0.9165,0.875,0.474,80.8545
1991,72,ub,here i am,0.81,0.802,0.621,95.906
1991,73,tesla,signs,0.485,0.343,0.81,162.05
1991,74,cathy dennis,too many walls,,,,
1991,75,seal,crazy,0.812,0.633,0.852,102.715
1991,76,keith sweat,ill give all my love to you,0.36550000000000005,0.5980000000000001,0.4455,140.002
1991,77,michael w smith,place in this world,0.3720000000000001,0.446,0.5589999999999999,145.41899999999995
1991,78,poison,something to believe in,,,,
1991,79,chris issak,wicked game,,,,
1991,80,oleta adams,get here,0.223,0.28,0.211,74.10600000000002
1991,81,tevin campbell,round and round,,,,
1991,82,queensryche,silent lucidity,,,,
1991,83,will to power,im not in love,,,,
1991,84,tara kemp,piece of my heart,,,,
1991,85,jesus jones,real real real,,,,
1991,86,cathy dennis,just another dream,,,,
1991,87,aaron neville,everybody plays the fool,0.431,0.789,0.352,87.89399999999998
1991,88,black box,strike it up,0.915,0.875,0.862,118.398
1991,89,gerardo,rico suave,0.446,0.7979999999999999,0.8170000000000001,105.931
1991,90,inxs,disappear,0.8340000000000001,0.645,0.88,125.418
1991,91,deeelite,groove is in the heart,0.924,0.6940000000000001,0.8809999999999999,121.554
1991,92,sting,all this time,0.451,0.637,0.463,127.084
1991,93,chesney hawkes,the one and only,0.775,0.6809999999999999,0.6970000000000001,119.956
1991,94,naughty by nature,opp,0.7205,0.8119999999999999,0.903,97.75
1991,95,george michael,freedom,0.818,0.6759999999999999,0.873,91.77
1991,96,warrent,i saw red,,,,
1991,97,winger,miles away,0.317,0.363,0.528,182.21
1991,98,saltnpepa,do you want me,0.973,0.899,0.451,121.575
1991,99,rod stewart,the motown song,,,,
1991,100,rem,shiny happy people,0.805,0.452,0.909,124.623
1992,1,boyz ii men,end of the road,0.5035000000000001,0.64,0.42400000000000004,112.2695
1992,2,sir mix alot,baby got back,,,,
1992,3,kris kross,jump,0.481,0.7490000000000001,0.745,101.972
1992,4,vanessa williams,save the best for last,0.191,0.529,0.268,95.999
1992,5,tlc,babybabybaby,0.9,0.679,0.597,184.174
1992,6,eric clapton,tears in heaven,0.312,0.498,0.242,153.744
1992,7,en vogue,my lovin,0.461,0.767,0.8390000000000001,98.055
1992,8,red hot chili peppers,under the bridge,0.458,0.5589999999999999,0.345,84.581
1992,9,color me badd,all  love,0.797,0.807,0.75,106.389
1992,10,jon secada,just another day,0.732,0.7170000000000001,0.642,105.894
1992,11,shanice,i love your smile,0.7444999999999999,0.7175,0.8345,93.94399999999999
1992,12,mr big,to be with you,0.479,0.693,0.408,83.646
1992,13,right said fred,im too sexy,0.8440000000000001,0.68,0.785,122.113
1992,14,michael jackson,black or white,0.875,0.5965,0.8614999999999999,114.9865
1992,15,billy ray cyrus,achy breaky heart,0.961,0.8,0.563,121.808
1992,16,mariah carey,ill be there,,,,
1992,17,guns n roses,november rain,0.226,0.294,0.6409999999999999,79.759
1992,18,tom cochrane,life is a highway,0.7965,0.6829999999999999,0.824,103.0435
1992,19,michael jackson,remember the time,0.8009999999999999,0.8340000000000001,0.908,107.931
1992,20,cece peniston,finally,0.8420000000000001,0.7909999999999999,0.6579999999999999,120.066
1992,21,madonna,this used to be my playground,0.0708,0.499,0.308,75.91
1992,22,patty smyth,sometimes love just aint enough,,,,
1992,23,mariah carey,cant let go,0.18,0.477,0.5329999999999999,162.368
1992,24,house of pain,jump around,0.818,0.8540000000000001,0.71,106.894
1992,25,prince  the npg,diamonds and pearls,,,,
1992,26,george michael  elton john,dont let the sun go down on me,,,,
1992,27,atlantic starr,masterpiece,0.299,0.642,0.448,137.83100000000002
1992,28,celine dion,if you asked me to,0.227,0.46,0.4370000000000001,172.382
1992,29,en vogue,giving him something he can feel,0.705,0.496,0.298,203.824
1992,30,joe public,live and learn,0.6829999999999999,0.7440000000000001,0.894,106.637
1992,31,jodeci,come  talk to me,0.84,0.609,0.57,172.095
1992,32,nirvana,smells like teen spirit,0.72,0.502,0.912,116.761
1992,33,bobby brown,humpin around,0.61,0.71,0.8,110.211
1992,34,sophie b hawkins,damn i wish i was your lover,0.47950000000000004,0.5545,0.7934999999999999,95.11
1992,35,teven campbell,tell me what you want me to do,,,,
1992,36,tlc,aint  proud  beg,0.7120000000000001,0.674,0.7070000000000001,104.854
1992,37,boyz ii men,its so hard to say goodbye to yesterday,0.28500000000000003,0.2475,0.16155,80.2225
1992,38,technotronic,move this,0.979,0.782,0.96,120.682
1992,39,queen,bohemian rhapsody,0.2185,0.394,0.34550000000000003,144.1175
1992,40,arrested development,tennessee,0.67,0.8220000000000001,0.6609999999999999,99.883
1992,41,luther vandross  janet jackson,the best things in life are free,,,,
1992,42,mariah carey,make it happen,0.75,0.8109999999999999,0.53,107.853
1992,43,elton john,the one,0.311,0.426,0.647,75.944
1992,44,pm dawn,set adrift on memory bliss,0.482,0.795,0.705,100.025
1992,45,shakespears sister,stay,0.178,0.303,0.4920000000000001,96.578
1992,46,hammer,legit  quit,,,,
1992,47,kws,please dont go,,,,
1992,48,mint condition,breakin my heart,0.551,0.672,0.52,137.213
1992,49,cover girls,wishing on a star,,,,
1992,50,hifive,shes playing hard to get,0.7659999999999999,0.5215000000000001,0.8089999999999999,199.978
1992,51,pm dawn,id die without you,0.343,0.5429999999999999,0.266,79.992
1992,52,amy grant,good for me,0.863,0.594,0.883,89.99700000000001
1992,53,toad the wet sprocket,all i want,0.6245,0.5985,0.808,124.3125
1992,54,michael bolton,when a man loves a woman,0.234,0.5770000000000001,0.363,82.49799999999998
1992,55,genesis,i cant dance,0.899,0.941,0.4970000000000001,107.552
1992,56,richard marx,hazard,0.639,0.675,0.5640000000000001,124.842
1992,57,u,mysterious ways,0.6970000000000001,0.674,0.659,99.768
1992,58,george michael,too funky,,,,
1992,59,heights,how do you talk to an angel,,,,
1992,60,u,one,0.325,0.392,0.534,181.305
1992,61,cece peniston,keep on walkin,0.655,0.7659999999999999,0.7120000000000001,104.974
1992,62,genesis,hold on my heart,0.289,0.45,0.328,171.94400000000005
1992,63,karyn white,the way i feel about you,0.8009999999999999,0.6729999999999999,0.888,110.772
1992,64,calms dion and peabo bryson,beauty and the beast,,,,
1992,65,kris kross,warm it up,0.763,0.865,0.778,103.008
1992,66,michael jackson,in the closet,0.622,0.8759999999999999,0.782,110.494
1992,67,arrested development,people everyday,0.7995000000000001,0.8415000000000001,0.5585,85.565
1992,68,genesis,no son of nine,,,,
1992,69,marky mark and the funky bunch,wildside,0.271,0.767,0.356,105.404
1992,70,bryan adams,do i have to say the words,0.47,0.505,0.585,128.05100000000002
1992,71,cure,friday im in love,,,,
1992,72,ugly kid joe,everything about you,0.7404999999999999,0.5115000000000001,0.7965,122.5215
1992,73,paula abdul,blowing kisses in the wind,0.261,0.524,0.544,147.674
1992,74,bryan adams,thought id died and gone to heaven,0.535,0.44,0.738,174.37599999999995
1992,75,snap,rhythm is a dancer,0.862,0.757,0.652,124.369
1992,76,hammer,addams groove,,,,
1992,77,michael bolton,missing you now,,,,
1992,78,ndeep,back to the hotel,0.31399999999999995,0.695,0.428,201.7335
1992,79,kathy troccoli,everything changes,,,,
1992,80,def leppard,have you ever needed somone so bad,,,,
1992,81,richard marx,take this heart,,,,
1992,82,firehouse,when i look into your eyes,0.241,0.396,0.612,146.759
1992,83,jade,i wanna love you,0.838,0.731,0.7070000000000001,200.306
1992,84,boyz ii men,uhh ahh,0.6655,0.738,0.5645,126.004
1992,85,mary j blige,real love,0.826,0.769,0.7809999999999999,95.02
1992,86,the klf,justified and ancient,,,,
1992,87,color me badd,slow motion,,,,
1992,88,tlc,what about your friends,0.626,0.7440000000000001,0.851,105.882
1992,89,color me badd,thinkin back,,,,
1992,90,charles  eddie,would i lie to you,0.718,0.547,0.5379999999999999,202.409
1992,91,amy grant,thats what love is for,0.293,0.544,0.6990000000000001,141.844
1992,92,richard marx,keep coming back,,,,
1992,93,en vogue,free your mind,0.809,0.765,0.831,100.026
1992,94,keith sweat,keep it comin,0.738,0.667,0.899,101.477
1992,95,mr big,just take my heart,,,,
1992,96,amy grant,i will remember you,0.336,0.513,0.6579999999999999,177.625
1992,97,cece peniston,we got a love thang,0.764,0.669,0.644,120.012
1992,98,def leppard,lets get rocked,0.526,0.564,0.888,91.989
1992,99,das efx,they want efx,0.608,0.8105,0.49650000000000005,98.65299999999999
1992,100,bonnie raitt,i cant make you love me,0.113,0.588,0.149,124.689
1993,1,whitney houston,i will always love you,0.108,0.306,0.214,66.98
1993,2,tag team,whoomp,,,,
1993,3,ub,cant help falling in love,,,,
1993,4,janet jackson,thats the way love goes,0.5820000000000001,0.703,0.7,97.675
1993,5,silk,freak me,0.725,0.6970000000000001,0.608,133.879
1993,6,swv,weak,0.568,0.688,0.5329999999999999,127.661
1993,7,shai,if i ever fall in love,0.42,0.402,0.205,143.994
1993,8,mariah carey,dreamlover,0.71,0.701,0.705,100.669
1993,9,wreckxneffect,rump shaker,0.233,0.888,0.8220000000000001,102.753
1993,10,snow,informer,0.483,0.763,0.742,98.145
1993,11,dr dre,nuthin but a g thang,,,,
1993,12,boyz ii men,in the still of the nite,0.217,0.537,0.184,77.817
1993,13,jade,dont walk away,0.8809999999999999,0.831,0.915,102.979
1993,14,htown,knockin da boots,0.5820000000000001,0.726,0.501,128.099
1993,15,jodeci,lately,0.27,0.377,0.315,126.168
1993,16,duice,dazzey duks,0.868,0.884,0.464,132.172
1993,17,robin s,show me love,0.5670000000000001,0.8109999999999999,0.833,120.258
1993,18,peabo bryson  regina belle,a whole new world,,,,
1993,19,janet jackson,if,0.447,0.653,0.976,105.575
1993,20,swv,im so into you,0.6094999999999999,0.8454999999999999,0.5325,99.01400000000001
1993,21,vanessa willlams  brian mcknight,love is,,,,
1993,22,soul asylum,runaway train,0.5455000000000001,0.6145,0.7170000000000001,117.38149999999999
1993,23,expose,ill never get over you,,,,
1993,24,paperboy,ditty,0.708,0.838,0.452,99.075
1993,25,snap,rhythm is a dancer,0.862,0.757,0.652,124.369
1993,26,billy joel,the river of dreams,0.4370000000000001,0.631,0.7490000000000001,89.646
1993,27,proclaimers,im gonna be,,,,
1993,28,spin doctors,two princes,0.831,0.544,0.9085000000000001,103.6525
1993,29,swv,right here downtown,,,,
1993,30,whitney houston,i have nothing,0.24,0.54,0.401,152.974
1993,31,arrested development,mr wendal,0.883,0.884,0.37,109.997
1993,32,rod stewart,have i told you lately,,,,
1993,33,shanice,saving forever for you,0.463,0.655,0.545,133.358
1993,34,duran duran,ordinary world,0.401,0.472,0.652,140.124
1993,35,tony toni tone,if i had no loot,0.81,0.873,0.721,106.725
1993,36,meat loaf,id do anything for love,0.352,0.3705,0.6565000000000001,127.13650000000001
1993,37,onyx,slam,0.7240000000000001,0.8759999999999999,0.71,98.305
1993,38,pm dawn,looking through patient eyes,0.685,0.7859999999999999,0.3720000000000001,102.237
1993,39,whitney houston,im every woman,0.402,0.6659999999999999,0.848,119.541
1993,40,shai,baby im yours,0.596,0.705,0.575,143.8
1993,41,duran duran,come undone,0.708,0.542,0.7929999999999999,173.93099999999995
1993,42,tina turner,i dont wanna fight,0.726,0.638,0.762,92.046
1993,43,pm dawn,id die without you,0.343,0.5429999999999999,0.266,79.992
1993,44,south,whoot there it is,,,,
1993,45,naughty by nature,hip hop hooray,0.765,0.862,0.642,99.201
1993,46,toni braxton,another sad love song,0.858,0.78,0.71,96.067
1993,47,michael jackson,will you be there,0.416,0.66,0.443,82.984
1993,48,shil,comforter,,,,
1993,49,bobby brown,good enough,0.5329999999999999,0.6509999999999999,0.743,90.2
1993,50,non blondes,whats up,0.454,0.565,0.564,134.355
1993,51,ace of base,all that she wants,0.864,0.7525,0.6265000000000001,140.656
1993,52,prince  the new power generation,,,,,
1993,53,dr dre,dre day,,,,
1993,54,brian mcknight,one last cry,0.102,0.355,0.126,109.769
1993,55,xscape,just kickin it,0.7115,0.6930000000000001,0.359,80.90299999999999
1993,56,pac,i get around,,,,
1993,57,bon jovi,bed of roses,0.14850000000000002,0.315,0.5529999999999999,164.8265
1993,58,mary j blige,real love,0.826,0.769,0.7809999999999999,95.02
1993,59,portrait,here we go again,0.596,0.7879999999999999,0.778,106.273
1993,60,aerosmith,cryin,0.494,0.452,0.815,105.757
1993,61,ugly kid joe,cats in the cradle,0.433,0.511,0.517,75.67
1993,62,tlc,what about your friends,0.626,0.7440000000000001,0.851,105.882
1993,63,positive k,i got a man,0.787,0.812,0.753,103.754
1993,64,zhane,hey mr dj,,,,
1993,65,cypress hill,insane in the brain,0.7484999999999999,0.899,0.621,102.24350000000001
1993,66,madonna,deeper and deeper,0.39,0.659,0.818,119.943
1993,67,madonna,rain,0.16,0.5920000000000001,0.642,92.419
1993,68,jeremy jordan,the right kind of love,,,,
1993,69,inner circle,bad boys,0.5329999999999999,0.7809999999999999,0.722,87.85799999999998
1993,70,boy krazy,thats what love can do,,,,
1993,71,jon secada,do you believe in us,0.743,0.662,0.8909999999999999,107.75
1993,72,jon secada,angel,0.134,0.485,0.477,151.704
1993,73,kenny g,forever in love,0.1065,0.344,0.40549999999999997,81.8195
1993,74,janet jackson,again,0.189,0.359,0.287,130.135
1993,75,jazzy jeff  fresh prince,boom shake the room,,,,
1993,76,restless heart,when she cries,0.361,0.6659999999999999,0.521,105.223
1993,77,inner circle,sweat,0.94,0.787,0.728,173.02599999999995
1993,78,ice cube,it was a good day,0.794,0.7979999999999999,0.7440000000000001,82.35600000000002
1993,79,captain hollywood project,more and more,,,,
1993,80,heights,how do you talk to an angel,,,,
1993,81,digable planets,rebirth of slick,0.5915,0.8855,0.378,98.3235
1993,82,haddaway,what is love,,,,
1993,83,michael bolton,to love somebody,0.282,0.3670000000000001,0.353,74.10300000000002
1993,84,en vogue,give it up turn it loose,0.939,0.836,0.58,93.015
1993,85,kris kross,alright,0.547,0.8029999999999999,0.5820000000000001,97.305
1993,86,ice cube,check yo self,0.7715000000000001,0.852,0.7275,101.061
1993,87,sting,fields of gold,0.32,0.6509999999999999,0.339,103.996
1993,88,dino,ooh child,,,,
1993,89,go west,faithful,0.753,0.615,0.912,105.538
1993,90,rod stewart,reason to believe,0.475,0.375,0.507,138.216
1993,91,tears for fears,break it down again,0.486,0.6809999999999999,0.742,109.001
1993,92,joey lawrence,nothin my love cant fix,,,,
1993,93,green jelly,three little pigs,0.339,0.449,0.95,144.469
1993,94,aerosmith,livin on the edge,0.29,0.399,0.8809999999999999,84.52799999999998
1993,95,gin blossoms,hey jealousy,0.46950000000000003,0.4665,0.7989999999999999,152.9565
1993,96,sting,if i ever lose my faith in you,0.504,0.575,0.727,97.995
1993,97,tony toni tone,anniversary,0.36650000000000005,0.639,0.4315,88.98949999999999
1993,98,jade,one woman,0.545,0.662,0.605,151.946
1993,99,taylor dayne,cant get enough of your love,0.64,0.691,0.8370000000000001,108.175
1993,100,def leppard,two steps behind,,,,
1994,1,ace of base,the sign,0.9225,0.8049999999999999,0.8069999999999999,96.9985
1994,2,allone,i swear,0.23,0.532,0.407,83.20700000000002
1994,3,boyz ii men,ill make love to you,0.2,0.5670000000000001,0.501,142.589
1994,4,celine dion,the power of love,0.247,0.546,0.519,140.054
1994,5,mariah carey,hero,0.178,0.501,0.378,119.987
1994,6,lisa loeb  nine stories,stay,0.375,0.67,0.607,80.396
1994,7,toni braxton,breathe again,0.259,0.6890000000000001,0.677,153.91899999999995
1994,8,bryan adams rod stewart  sting,all for love,,,,
1994,9,ace of base,all that she wants,0.864,0.7525,0.6265000000000001,140.656
1994,10,ace of base,dont turn around,0.752,0.745,0.7709999999999999,95.623
1994,11,r kelly,bump n grind,0.679,0.621,0.481,65.00399999999999
1994,12,janet jackson,again,0.189,0.359,0.287,130.135
1994,13,madonna,ill remember,0.85,0.691,0.601,167.796
1994,14,saltnpepa,whatta man,,,,
1994,15,john mellencamp  meshell ndegeocello,wild night,,,,
1994,16,mariah carey,without you  never forget you,,,,
1994,17,toni braxton,you mean the world to me,0.521,0.595,0.736,167.669
1994,18,elton john,can you feel the love tonight,0.149,0.297,0.364,122.598
1994,19,the artist formerly known as prince,the most beautiful girl in the world,,,,
1994,20,coolio,fantastic voyage,0.762,0.888,0.584,104.704
1994,21,big mountain,baby i love your way,,,,
1994,22,warren g  nate dogg,regulate,,,,
1994,23,jon secada,if you go,,,,
1994,24,aaliyah,back  forth,,,,
1994,25,richard marx,now and forever,0.172,0.441,0.258,77.988
1994,26,babyface,when can i see you,0.613,0.754,0.472,169.199
1994,27,bryan adams,please forgive me,0.144,0.5870000000000001,0.456,134.11
1994,28,allone,so much in love,0.352,0.322,0.25,137.714
1994,29,saltnpepa,shoop,0.795,0.939,0.675,96.918
1994,30,janet jackson,any time any place  and on and on,,,,
1994,31,collective soul,shine,0.353,0.54,0.423,150.135
1994,32,michael bolton,said i loved youbut i lied,0.4320000000000001,0.547,0.569,159.713
1994,33,enigma,return to innocence,0.417,0.476,0.584,88.02600000000002
1994,34,sheryl crow,all i wanna do,0.931,0.82,0.528,120.091
1994,35,crash test dummies,mmm mmm mmm mmm,0.37,0.58,0.575,92.934
